Municipality,Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
Aparri,Cagayan,FEMALE,19024.0,19750,726.0,3.82
Aparri,Cagayan,MALE,17326.0,18652,1326.0,7.65
Araceli,Palawan,FEMALE,4427.0,4735,308.0,6.96
Araceli,Palawan,MALE,4698.0,5150,452.0,9.62
Arakan,Cotabato (North Cotabato),FEMALE,13798.0,14692,894.0,6.48
Arakan,Cotabato (North Cotabato),MALE,15475.0,16777,1302.0,8.41
Arayat,Pampanga,FEMALE,38761.0,38810,49.0,0.13
Arayat,Pampanga,MALE,34975.0,35644,669.0,1.91
Argao,Cebu,FEMALE,25218.0,28031,2813.0,11.15
Argao,Cebu,MALE,24576.0,27815,3239.0,13.18
Aringay,La Union,FEMALE,15544.0,16384,840.0,5.4
Aringay,La Union,MALE,15062.0,16312,1250.0,8.3
Aritao,Nueva Vizcaya,FEMALE,12000.0,11939,-61.0,-0.51
Aritao,Nueva Vizcaya,MALE,11405.0,11483,78.0,0.68
Aroroy,Masbate,FEMALE,25636.0,26913,1277.0,4.98
Aroroy,Masbate,MALE,26573.0,27712,1139.0,4.29
Arteche,Eastern Samar,FEMALE,6065.0,5812,-253.0,-4.17
Arteche,Eastern Samar,MALE,6834.0,6428,-406.0,-5.94
Asingan,Pangasinan,FEMALE,19668.0,20414,746.0,3.79
Asingan,Pangasinan,MALE,18831.0,19927,1096.0,5.82
Asipulo,Ifugao,FEMALE,3665.0,3767,102.0,2.78
Asipulo,Ifugao,MALE,3960.0,4304,344.0,8.69
Asturias,Cebu,FEMALE,17119.0,17921,802.0,4.68
Asturias,Cebu,MALE,17647.0,18088,441.0,2.5
Asuncion (Saug),Davao (Davao Del Norte),FEMALE,17979.0,20106,2127.0,11.83
Asuncion (Saug),Davao (Davao Del Norte),MALE,18388.0,21149,2761.0,15.02
Atimonan,Quezon,FEMALE,18433.0,19657,1224.0,6.64
Atimonan,Quezon,MALE,16676.0,18441,1765.0,10.58
Atok,Benguet,FEMALE,5385.0,5544,159.0,2.95
Atok,Benguet,MALE,5979.0,6273,294.0,4.92
Aurora,Isabela,FEMALE,11827.0,12005,178.0,1.51
Aurora,Isabela,MALE,12018.0,12586,568.0,4.73
Aurora,Zamboanga Del Sur,FEMALE,17267.0,18353,1086.0,6.29
Aurora,Zamboanga Del Sur,MALE,17311.0,18393,1082.0,6.25
Ayungon,Negros Oriental,FEMALE,14741.0,15376,635.0,4.31
Ayungon,Negros Oriental,MALE,14440.0,15098,658.0,4.56
Baao,Camarines Sur,FEMALE,17268.0,18787,1519.0,8.8
Baao,Camarines Sur,MALE,15806.0,17454,1648.0,10.43
Babatngon,Leyte,FEMALE,9345.0,9633,288.0,3.08
Babatngon,Leyte,MALE,9544.0,10133,589.0,6.17
Bacacay,Albay,FEMALE,24955.0,25225,270.0,1.08
Bacacay,Albay,MALE,23843.0,24143,300.0,1.26
Bacarra,Ilocos Norte,FEMALE,10811.0,11096,285.0,2.64
Bacarra,Ilocos Norte,MALE,10527.0,11094,567.0,5.39
Baclayon,Bohol,FEMALE,7027.0,7179,152.0,2.16
Baclayon,Bohol,MALE,6747.0,7001,254.0,3.76
Bacnotan,La Union,FEMALE,14023.0,14192,169.0,1.21
Bacnotan,La Union,MALE,13221.0,13717,496.0,3.75
Baco,Oriental Mindoro,FEMALE,11481.0,12617,1136.0,9.89
Baco,Oriental Mindoro,MALE,11197.0,12597,1400.0,12.5
Bacolod,Lanao Del Norte,FEMALE,7710.0,8029,319.0,4.14
Bacolod,Lanao Del Norte,MALE,7309.0,7605,296.0,4.05
Bacolod City,Negros Occidental,FEMALE,166736.0,173936,7200.0,4.32
Bacolod City,Negros Occidental,MALE,146080.0,153467,7387.0,5.06
Bacolod-Kalawi (Bacolod Grande),Lanao Del Sur,FEMALE,3546.0,4206,660.0,18.61
Bacolod-Kalawi (Bacolod Grande),Lanao Del Sur,MALE,3327.0,4091,764.0,22.96
Bacolor,Pampanga,FEMALE,25516.0,25504,-12.0,-0.05
Bacolor,Pampanga,MALE,23763.0,24339,576.0,2.42
Bacong,Negros Oriental,FEMALE,11496.0,12975,1479.0,12.87
Bacong,Negros Oriental,MALE,10796.0,12230,1434.0,13.28
Bacoor City,Cavite,FEMALE,166776.0,161648,-5128.0,-3.07
Bacoor City,Cavite,MALE,136308.0,132848,-3460.0,-2.54
Bacuag,Surigao Del Norte,FEMALE,5825.0,5916,91.0,1.56
Bacuag,Surigao Del Norte,MALE,5739.0,5787,48.0,0.84
Bacungan (Leon T. Postigo),Zamboanga Del Norte,FEMALE,8590.0,8993,403.0,4.69
Bacungan (Leon T. Postigo),Zamboanga Del Norte,MALE,9182.0,9484,302.0,3.29
Badian,Cebu,FEMALE,13204.0,13808,604.0,4.57
