Region,Province,Municipality,2019 voters,2022 voters,2025 voters,Change from 2022 to 2025,Percentage change from 2022 to 2025,Change from 2019 to 2025,Percentage change from 2019 to 2025
REGION IX,Zamboanga Del Sur,Tigbao,"12,799","13,890","14,002",112,0.81,"1,203",9.4
REGION IX,Zamboanga Del Sur,Tukuran,"26,621","30,324","28,987","-1,337",-4.41,"2,366",8.89
REGION IX,Zamboanga Del Sur,Vincenzo A. Sagun,"14,680","15,227","16,121",894,5.87,"1,441",9.82
REGION IX,Zamboanga Del Sur,Zamboanga City,"467,535","445,240","483,058","37,818",8.49,"15,523",3.32
REGION IX,Zamboanga Sibugay,Alicia,"26,101","25,597","25,212",-385,-1.5,-889,-3.41
REGION IX,Zamboanga Sibugay,Buug,"25,472","26,069","24,616","-1,453",-5.57,-856,-3.36
REGION IX,Zamboanga Sibugay,Diplahan,"20,729","21,080","22,160","1,080",5.12,"1,431",6.9
REGION IX,Zamboanga Sibugay,Imelda,"16,264","16,553","18,877","2,324",14.04,"2,613",16.07
REGION IX,Zamboanga Sibugay,Ipil,"53,098","61,059","60,353",-706,-1.16,"7,255",13.66
REGION IX,Zamboanga Sibugay,Kabasalan,"32,888","32,772","34,171","1,399",4.27,"1,283",3.9
REGION IX,Zamboanga Sibugay,Mabuhay,"14,119","14,769","15,819","1,050",7.11,"1,700",12.04
REGION IX,Zamboanga Sibugay,Malangas,"21,114","21,754","22,123",369,1.7,"1,009",4.78
REGION IX,Zamboanga Sibugay,Naga,"28,048","27,664","28,194",530,1.92,146,0.52
REGION IX,Zamboanga Sibugay,Olutanga,"15,814","16,749","17,628",879,5.25,"1,814",11.47
REGION IX,Zamboanga Sibugay,Payao,"20,612","22,755","21,784",-971,-4.27,"1,172",5.69
REGION IX,Zamboanga Sibugay,Roseller T. Lim,"27,598","31,020","28,873","-2,147",-6.92,"1,275",4.62
REGION IX,Zamboanga Sibugay,Siay,"26,020","28,751","25,960","-2,791",-9.71,-60,-0.23
REGION IX,Zamboanga Sibugay,Talusan,"10,096","10,701","11,140",439,4.1,"1,044",10.34
REGION IX,Zamboanga Sibugay,Titay,"34,950","34,316","37,145","2,829",8.24,"2,195",6.28
REGION IX,Zamboanga Sibugay,Tungawan,"27,602","30,453","34,367","3,914",12.85,"6,765",24.51
BARMM,Special Geographic Area,Kadayangan,,,"11,244",,,,
BARMM,Special Geographic Area,Kapalawan,,,"16,794",,,,
BARMM,Special Geographic Area,Ligawasan,,,"19,167",,,,
BARMM,Special Geographic Area,Malidegao,,,"19,242",,,,
BARMM,Special Geographic Area,Nabalawag,,,"12,714",,,,
BARMM,Special Geographic Area,Old Kaabakan,,,"10,029",,,,
BARMM,Special Geographic Area,Pahamuddin,,,"12,659",,,,
BARMM,Special Geographic Area,Tugunan,,,"16,614",,,,
