Region,Province,Municipality,2019 voters,2022 voters,2025 voters,Change from 2022 to 2025,Percentage change from 2022 to 2025,Change from 2019 to 2025,Percentage change from 2019 to 2025
REGION IV-A,Quezon,Plaridel,"8,569","8,768","8,656",-112,-1.28,87,1.02
REGION IV-A,Quezon,Polillo,"20,501","20,692","21,072",380,1.84,571,2.79
REGION IV-A,Quezon,Quezon,"10,653","11,032","11,698",666,6.04,"1,045",9.81
REGION IV-A,Quezon,Real,"20,700","23,605","25,009","1,404",5.95,"4,309",20.82
REGION IV-A,Quezon,Sampaloc,"9,765","10,002","10,179",177,1.77,414,4.24
REGION IV-A,Quezon,San Andres,"16,449","19,620","20,537",917,4.67,"4,088",24.85
REGION IV-A,Quezon,San Antonio,"22,385","24,411","26,335","1,924",7.88,"3,950",17.65
REGION IV-A,Quezon,San Francisco,"39,702","41,909","46,153","4,244",10.13,"6,451",16.25
REGION IV-A,Quezon,San Narciso,"29,815","31,708","33,152","1,444",4.55,"3,337",11.19
REGION IV-A,Quezon,Sariaya,"86,884","96,447","105,746","9,299",9.64,"18,862",21.71
REGION IV-A,Quezon,Tagkawayan,"33,344","35,381","36,160",779,2.2,"2,816",8.45
REGION IV-A,Quezon,Tayabas City,"60,454","68,740","70,696","1,956",2.85,"10,242",16.94
REGION IV-A,Quezon,Tiaong,"57,355","64,797","73,299","8,502",13.12,"15,944",27.8
REGION IV-A,Quezon,Unisan,"17,446","18,147","19,107",960,5.29,"1,661",9.52
REGION II,Quirino,Aglipay,"18,689","18,977","19,431",454,2.39,742,3.97
REGION II,Quirino,Cabarroguis,"19,979","20,999","21,631",632,3.01,"1,652",8.27
