Region,Province,Municipality,Voter turnout (2019),Voter turnout (2022),Change,Percent change
REGION IV-B,Oriental Mindoro,Naujan,"45,755","53,601","7,846",17.15
REGION IV-A,Batangas,San Pascual,"31,729","35,896","4,167",13.13
REGION IX,Zamboanga Del Norte,Siocon,"20,997","23,021","2,024",9.64
REGION V,Masbate,Claveria,"18,439","21,769","3,330",18.06
CARAGA,Dinagat Islands,San Jose,"12,107","13,497","1,390",11.48
REGION IV-A,Batangas,Lian,"26,534","31,214","4,680",17.64
REGION II,Quirino,Cabarroguis,"14,849","17,480","2,631",17.72
REGION IV-A,Laguna,Pangil,"11,303","13,589","2,286",20.22
BARMM,Maguindanao Del Norte,Sultan Mastura,"11,395","11,978",583,5.12
REGION XII,South Cotabato,T'boli,"40,126","48,943","8,817",21.97
REGION VI,Capiz,Jamindan,"18,568","21,907","3,339",17.98
REGION IV-A,Rizal,Morong,"28,936","35,897","6,961",24.06
REGION III,Bulacan,Marilao,"70,127","88,638","18,511",26.4
REGION VI,Negros Occidental,Hinoba-an,"25,129","32,233","7,104",28.27
REGION IV-B,Marinduque,Torrijos,"14,395","17,782","3,387",23.53
REGION IV-B,Palawan,Agutaya,"5,644","6,583",939,16.64
REGION II,Nueva Vizcaya,Quezon,"11,058","13,197","2,139",19.34
REGION IV-B,Palawan,Cuyo,"10,607","12,477","1,870",17.63
REGION XII,Cotabato (North Cotabato),Matalam,"34,762","40,873","6,111",17.58
REGION XI,Davao Oriental,Tarragona,"14,075","16,079","2,004",14.24
BARMM,Tawi-Tawi,Mapun,"12,895","13,706",811,6.29
REGION XI,Davao Oriental,Boston,"7,682","8,726","1,044",13.59
REGION IV-A,Batangas,Nasugbu,"57,987","70,101","12,114",20.89
REGION V,Masbate,Uson,"25,910","28,154","2,244",8.66
NCR,NCR,City of Marikina,"182,164","229,267","47,103",25.86
REGION III,Nueva Ecija,Pantabangan,"17,912","21,047","3,135",17.5
REGION IV-B,Oriental Mindoro,Gloria,"22,726","26,894","4,168",18.34
REGION III,Nueva Ecija,Licab,"12,902","15,521","2,619",20.3
NCR,NCR,City of San Juan,"61,252","81,104","19,852",32.41
REGION XII,Sultan Kudarat,Tacurong City,"42,438","50,935","8,497",20.02
CAR,Abra,Tineg,"2,318","2,678",360,15.53
REGION VII,Cebu,Cebu City,"241,039","275,578","34,539",14.33
REGION II,Nueva Vizcaya,Villaverde,"8,571","10,243","1,672",19.51
