Municipality,Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
San Quintin,Abra,MALE,"2,321.0","2,293",-28.0,-1.21
San Quintin,Pangasinan,MALE,"11,412.0","11,945",533.0,4.67
San Rafael,Bulacan,MALE,"30,296.0","31,353","1,057.0",3.49
San Rafael,Iloilo,MALE,"5,819.0","6,252",433.0,7.44
San Remigio,Antique,MALE,"10,711.0","11,793","1,082.0",10.1
San Remigio,Cebu,MALE,"20,270.0","21,046",776.0,3.83
San Ricardo,Southern Leyte,MALE,"3,745.0","3,724",-21.0,-0.56
San Roque,Northern Samar,MALE,"8,880.0","8,833",-47.0,-0.53
San Sebastian,Samar (Western Samar),MALE,"3,398.0","3,616",218.0,6.42
San Simon,Pampanga,MALE,"19,182.0","23,087","3,905.0",20.36
San Teodoro,Oriental Mindoro,MALE,"6,128.0","6,590",462.0,7.54
San Vicente,Camarines Norte,MALE,"3,962.0","4,120",158.0,3.99
San Vicente,Ilocos Sur,MALE,"3,875.0","4,299",424.0,10.94
San Vicente,Northern Samar,MALE,"3,188.0","3,102",-86.0,-2.7
San Vicente,Palawan,MALE,"10,550.0","11,776","1,226.0",11.62
Sanchez-Mira,Cagayan,MALE,"7,789.0","9,030","1,241.0",15.93
Santa,Ilocos Sur,MALE,"5,173.0","5,095",-78.0,-1.51
Santa Ana,Cagayan,MALE,"10,487.0","11,929","1,442.0",13.75
Santa Ana,Pampanga,MALE,"15,404.0","16,639","1,235.0",8.02
Santa Barbara,Iloilo,MALE,"18,697.0","20,524","1,827.0",9.77
Santa Barbara,Pangasinan,MALE,"25,664.0","27,651","1,987.0",7.74
Santa Catalina,Ilocos Sur,MALE,"5,216.0","5,338",122.0,2.34
Santa Catalina,Negros Oriental,MALE,"22,424.0","22,614",190.0,0.85
Santa Cruz,Davao Del Sur,MALE,"31,793.0","37,544","5,751.0",18.09
Santa Cruz,Ilocos Sur,MALE,"12,708.0","13,237",529.0,4.16
Santa Cruz,Laguna,MALE,"33,892.0","37,663","3,771.0",11.13
Santa Cruz,Marinduque,MALE,"18,351.0","19,263",912.0,4.97
Santa Cruz,Occidental Mindoro,MALE,"12,454.0","12,396",-58.0,-0.47
