province,age,registered_2022
Bohol,43,15924
Bohol,44,15819
Bohol,45,15217
Bohol,46,14894
Bohol,47,14832
Bohol,48,14432
Bohol,49,14484
Bohol,50,14242
Bohol,51,14512
Bohol,52,14454
Bohol,53,13997
Bohol,54,13255
Bohol,55,12859
Bohol,56,12546
Bohol,57,12720
Bohol,58,12414
Bohol,59,12216
Bohol,60_and_over,174778
Bukidnon,18,20311
Bukidnon,19,24184
Bukidnon,20,25864
Bukidnon,21,27684
Bukidnon,22,27484
Bukidnon,23,25130
Bukidnon,24,26342
Bukidnon,25,26216
Bukidnon,26,26144
Bukidnon,27,26617
Bukidnon,28,26713
Bukidnon,29,25355
Bukidnon,30,26088
Bukidnon,31,25637
Bukidnon,32,24212
Bukidnon,33,24268
Bukidnon,34,23362
Bukidnon,35,21610
Bukidnon,36,19833
Bukidnon,37,19349
Bukidnon,38,19154
Bukidnon,39,18920
Bukidnon,40,17624
Bukidnon,41,17269
Bukidnon,42,18189
Bukidnon,43,17055
Bukidnon,44,16699
Bukidnon,45,15675
Bukidnon,46,15772
Bukidnon,47,15417
Bukidnon,48,14054
Bukidnon,49,15035
Bukidnon,50,13704
Bukidnon,51,13934
Bukidnon,52,14289
Bukidnon,53,13640
Bukidnon,54,12528
Bukidnon,55,12007
Bukidnon,56,11723
Bukidnon,57,11750
Bukidnon,58,11334
Bukidnon,59,11100
Bukidnon,60_and_over,125563
Bulacan,18,30148
Bulacan,19,42396
Bulacan,20,46207
Bulacan,21,51105
Bulacan,22,50855
Bulacan,23,48621
Bulacan,24,52607
Bulacan,25,52773
Bulacan,26,51686
Bulacan,27,51426
Bulacan,28,50646
Bulacan,29,50181
Bulacan,30,49163
Bulacan,31,49145
Bulacan,32,46356
Bulacan,33,43593
Bulacan,34,44098
Bulacan,35,41953
Bulacan,36,40265
Bulacan,37,40484
Bulacan,38,40235
Bulacan,39,40986
Bulacan,40,40995
Bulacan,41,41845
Bulacan,42,41602
Bulacan,43,40253
Bulacan,44,38983
Bulacan,45,37289
Bulacan,46,36111
Bulacan,47,34152
Bulacan,48,33130
Bulacan,49,34204
Bulacan,50,33177
Bulacan,51,34305
Bulacan,52,34978
Bulacan,53,33192
Bulacan,54,30788
Bulacan,55,29550
Bulacan,56,29154
Bulacan,57,28202
Bulacan,58,27124
Bulacan,59,26323
Bulacan,60_and_over,307237
Cagayan,18,14008
Cagayan,19,17592
Cagayan,20,18988
Cagayan,21,20723
Cagayan,22,20054
Cagayan,23,18701
Cagayan,24,20032
Cagayan,25,20152
Cagayan,26,19751
