Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
Camarines Norte,FEMALE,182379.0,196916,14537.0,7.97
Camarines Norte,MALE,169135.0,187955,18820.0,11.13
Camarines Sur,FEMALE,615090.0,665114,50024.0,8.13
Camarines Sur,MALE,584519.0,642439,57920.0,9.91
Camiguin,FEMALE,32547.0,32450,-97.0,-0.3
Camiguin,MALE,31209.0,31640,431.0,1.38
Capiz,FEMALE,259615.0,266328,6713.0,2.59
Capiz,MALE,253714.0,262751,9037.0,3.56
Catanduanes,FEMALE,97108.0,97605,497.0,0.51
Catanduanes,MALE,99297.0,101267,1970.0,1.98
Cavite,FEMALE,1163208.0,1241798,78590.0,6.76
Cavite,MALE,985691.0,1060555,74864.0,7.6
Cebu,FEMALE,1600362.0,1696928,96566.0,6.03
Cebu,MALE,1482259.0,1591850,109591.0,7.39
Cotabato (North Cotabato),FEMALE,377624.0,376783,-841.0,-0.22
Cotabato (North Cotabato),MALE,395667.0,394423,-1244.0,-0.31
Davao (Davao Del Norte),FEMALE,304136.0,343515,39379.0,12.95
Davao (Davao Del Norte),MALE,301507.0,346733,45226.0,15.0
Davao De Oro (Compostela Valley),FEMALE,224249.0,243811,19562.0,8.72
Davao De Oro (Compostela Valley),MALE,238693.0,264410,25717.0,10.77
Davao Del Sur,FEMALE,732634.0,749500,16866.0,2.3
Davao Del Sur,MALE,677556.0,700111,22555.0,3.33
Davao Occidental,FEMALE,88617.0,93800,5183.0,5.85
Davao Occidental,MALE,93505.0,98620,5115.0,5.47
Davao Oriental,FEMALE,177318.0,190535,13217.0,7.45
