municipality,province,absolute_change
BISLIG CITY,SURIGAO DEL SUR,5263.0
BOAC,MARINDUQUE,3280.0
BOBON,NORTHERN SAMAR,459.0
BOCAUE,BULACAN,8581.0
BOGO CITY,CEBU,3398.0
BOKOD,BENGUET,384.0
BOLINAO,PANGASINAN,2386.0
BOLINEY,ABRA,60.0
BOLJOON,CEBU,460.0
BOMBON,CAMARINES SUR,678.0
BONGABON,NUEVA ECIJA,2667.0
BONGABONG,ORIENTAL MINDORO,2717.0
BONGAO,TAWI-TAWI,4097.0
BONIFACIO,MISAMIS OCCIDENTAL,-694.0
BONTOC,MOUNTAIN PROVINCE,1095.0
BONTOC,SOUTHERN LEYTE,621.0
BORBON,CEBU,1540.0
BORONGAN CITY,EASTERN SAMAR,2998.0
BOSTON,DAVAO ORIENTAL,202.0
BOTOLAN,ZAMBALES,2747.0
BRAULIO E. DUJALI,DAVAO (DAVAO DEL NORTE),1475.0
BROOKE'S POINT,PALAWAN,4543.0
BUADIPOSO-BUNTONG,LANAO DEL SUR,4213.0
BUBONG,LANAO DEL SUR,2624.0
BUCAY,ABRA,165.0
BUCLOC,ABRA,16.0
BUENAVISTA,AGUSAN DEL NORTE,6747.0
BUENAVISTA,BOHOL,2125.0
BUENAVISTA,GUIMARAS,1359.0
BUENAVISTA,MARINDUQUE,824.0
BUENAVISTA,QUEZON,1849.0
BUGALLON,PANGASINAN,4955.0
BUGASONG,ANTIQUE,-163.0
BUGUEY,CAGAYAN,1964.0
BUGUIAS,BENGUET,1754.0
BUHI,CAMARINES SUR,6695.0
BULA,CAMARINES SUR,3875.0
BULACAN,BULACAN,5799.0
BULALACAO  (SAN PEDRO),ORIENTAL MINDORO,2821.0
BULAN,SORSOGON,7157.0
BULDON,MAGUINDANAO,2416.0
BULUAN,MAGUINDANAO,1700.0
BULUSAN,SORSOGON,306.0
BUNAWAN,AGUSAN DEL SUR,1014.0
BURAUEN,LEYTE,1769.0
BURDEOS,QUEZON,2491.0
BURGOS,ILOCOS NORTE,211.0
BURGOS,ILOCOS SUR,-76.0
BURGOS,ISABELA,798.0
BURGOS,LA UNION,394.0
BURGOS,PANGASINAN,534.0
BURGOS,SURIGAO DEL NORTE,233.0
BURUANGA,AKLAN,189.0
BUSTOS,BULACAN,4558.0
BUSUANGA,PALAWAN,1746.0
BUTIG,LANAO DEL SUR,2426.0
BUTUAN CITY,AGUSAN DEL NORTE,7067.0
BUUG,ZAMBOANGA SIBUGAY,597.0
CABA,LA UNION,1173.0
CABADBARAN CITY,AGUSAN DEL NORTE,3203.0
CABAGAN,ISABELA,1266.0
CABANATUAN CITY,NUEVA ECIJA,778.0
CABANGAN,ZAMBALES,1210.0
CABANGLASAN,BUKIDNON,1936.0
CABARROGUIS,QUIRINO,1020.0
CABATUAN,ILOILO,2515.0
CABATUAN,ISABELA,436.0
CABIAO,NUEVA ECIJA,4356.0
CABUCGAYAN,BILIRAN,-31.0
CABUGAO,ILOCOS SUR,1905.0
CABUSAO,CAMARINES SUR,1154.0
CABUYAO CITY,LAGUNA,27322.0
CADIZ CITY,NEGROS OCCIDENTAL,3550.0
CAGAYAN DE ORO CITY,MISAMIS ORIENTAL,26935.0
CAGAYANCILLO,PALAWAN,218.0
CAGDIANAO,DINAGAT ISLANDS,824.0
CAGWAIT,SURIGAO DEL SUR,1110.0
CAIBIRAN,BILIRAN,345.0
CAINTA,RIZAL,-8268.0
CAJIDIOCAN,ROMBLON,788.0
CALABANGA,CAMARINES SUR,4814.0
CALACA,BATANGAS,7211.0
CALAMBA,MISAMIS OCCIDENTAL,435.0
CALAMBA CITY,LAGUNA,22754.0
CALANASAN (BAYAG),APAYAO,309.0
CALANOGAS,LANAO DEL SUR,287.0
CALAPE,BOHOL,345.0
CALASIAO,PANGASINAN,4525.0
